ReviewNo,JJP,RBP,JJN,RBN,Polarity,New_sentiment,WordCount,Sentiment
263,18,4,11,1,3.009831349,pos,491,Positive
264,0,0,1,2,-0.4475,neg,57,Negative
265,1,1,3,0,0.825,pos,73,Positive
266,1,0,4,1,-0.933333333,neg,91,Negative
267,3,2,11,2,-2.243402778,neg,328,Negative
268,1,2,4,1,-0.612878788,neg,92,Negative
269,7,0,1,0,1.503035714,pos,62,Positive
270,7,1,5,1,1.416666667,pos,118,Positive
271,5,0,1,0,1.226839827,pos,79,Positive
272,4,2,3,0,0.154444444,pos,191,Neutral
273,4,4,6,2,1.012083333,pos,222,Positive
274,3,1,2,1,0.739166667,pos,103,Positive
275,5,0,2,0,-0.155763889,neg,78,Neutral
276,5,2,12,1,0.520456349,pos,383,Positive
277,8,4,12,3,-0.081944444,neg,196,Neutral
278,2,3,5,2,-0.779166667,neg,92,Negative
279,1,0,0,0,2.041666667,pos,37,Positive
280,7,2,4,0,3.031673882,pos,152,Positive
281,0,2,3,1,-2.3875,neg,59,Negative
282,0,2,3,0,-2.15,neg,91,Negative
283,1,1,8,0,-0.469545455,neg,98,Negative
284,3,0,7,0,0.29534632,pos,121,Positive
285,0,0,2,0,-0.6625,neg,80,Negative
286,3,2,9,1,0.237,pos,168,Positive
287,5,2,0,0,1.147172619,pos,56,Positive
288,10,4,3,0,3.400380291,pos,197,Positive
289,2,0,1,0,0.655555556,pos,75,Positive
290,2,0,0,0,1.158333333,pos,79,Positive
291,3,0,0,0,0.475,pos,60,Positive
292,4,1,2,0,2.119593254,pos,85,Positive
293,4,1,0,1,1.35452381,pos,106,Positive
294,6,3,0,0,2.646893939,pos,77,Positive
295,1,2,6,0,0.310436508,pos,247,Positive
296,2,2,4,1,-1.45734127,neg,74,Negative
297,17,3,9,1,0.515,pos,335,Positive
298,4,4,3,1,1.148852814,pos,139,Positive
299,2,0,0,1,1.983333333,pos,69,Positive
300,3,1,2,0,-0.164583333,neg,80,Neutral
301,2,0,3,0,-1.522040043,neg,84,Negative
302,3,0,3,0,3.452083333,pos,57,Positive
303,4,2,2,1,1.676704545,pos,146,Positive
304,7,1,3,1,1.351190476,pos,123,Positive
305,5,1,0,0,1.119047619,pos,53,Positive
306,9,3,2,0,4.703333333,pos,170,Positive
307,1,0,1,0,0.127430556,pos,73,Neutral
308,1,2,0,0,0.199285714,pos,42,Neutral
309,3,0,2,3,1.973958333,pos,66,Positive
310,17,9,4,0,4.843041126,pos,531,Positive
311,1,1,2,1,-0.341666667,neg,51,Negative
312,4,1,4,1,-0.040833333,neg,70,Neutral
313,1,0,7,0,-0.925,neg,37,Negative
314,4,1,4,0,2.022361111,pos,213,Positive
315,3,1,3,1,1.735714286,pos,144,Positive
316,1,0,2,0,2.3425,pos,70,Positive
317,4,1,0,0,1.067037037,pos,49,Positive
318,1,0,1,0,0.600386905,pos,119,Positive
319,9,2,3,0,0.753902116,pos,203,Positive
320,13,2,13,2,5.73756734,pos,534,Positive
321,3,1,1,0,0.516396104,pos,40,Positive
322,10,2,17,3,-2.417070106,neg,402,Negative
323,2,3,2,1,1.142721088,pos,72,Positive
324,0,0,3,0,0.5875,pos,27,Positive
325,2,0,0,1,1.2175,pos,123,Positive
326,2,2,1,0,0.404017857,pos,55,Positive
327,3,0,6,1,-0.789603175,neg,141,Negative
328,3,2,1,0,0.758095238,pos,86,Positive
329,2,0,0,0,1.6,pos,26,Positive
330,2,1,3,0,-1.718214286,neg,58,Negative
331,0,0,0,0,0.9625,pos,37,Positive
332,13,11,2,1,8.934583333,pos,266,Positive
333,4,1,2,0,0.10577381,pos,87,Neutral
334,2,0,1,0,-0.073766026,neg,85,Neutral
335,4,1,2,1,0.315833333,pos,74,Positive
336,3,0,1,0,0.607954545,pos,31,Positive
337,2,0,1,0,1.090793651,pos,98,Positive
338,10,4,6,3,-0.671641189,neg,314,Negative
339,0,0,3,0,-0.254246032,neg,86,Negative
340,4,2,1,0,-0.436309524,neg,69,Negative
341,4,0,0,0,2.295833333,pos,74,Positive
342,2,1,3,0,0.068661616,pos,87,Neutral
343,10,2,6,0,0.958067089,pos,201,Positive
344,4,4,5,0,0.886645299,pos,157,Positive
345,4,2,8,2,-1.107271895,neg,180,Negative
346,0,4,5,3,0.05,pos,117,Neutral
347,2,0,1,0,1.808055556,pos,46,Positive
348,5,0,1,0,1.08030303,pos,78,Positive
